energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
67197.02100002737,20063.6080000028,14.82,10.087719298245613,0,26.12130457789136,1730037573.791
67197.02100002737,20063.6080000028,14.82,10.087719298245613,0,26.12130457789136,1730037573.791
66804.58599998444,19775.279000006616,14.84,9.335839598997497,0,26.01010690480378,1730037574.793
66804.58599998444,19775.279000006616,14.84,9.335839598997497,0,26.01010690480378,1730037574.793
66804.58599998444,19775.279000006616,14.84,9.335839598997497,0,26.01010690480378,1730037575.795
66804.58599998444,19775.279000006616,14.84,9.335839598997497,0,26.01010690480378,1730037575.795
66862.30299999804,19964.976000003517,14.94,21.755485893416925,0,25.948166755066403,1730037576.798
66862.30299999804,19964.976000003517,14.94,21.755485893416925,0,25.948166755066403,1730037576.798
66862.30299999804,19964.976000003517,14.94,21.755485893416925,0,25.948166755066403,1730037577.801
66862.30299999804,19964.976000003517,14.94,21.755485893416925,0,25.948166755066403,1730037577.801
71139.07199998974,20782.479000002146,14.68,16.31116687578419,0,24.104080422830776,1730037578.804
71139.07199998974,20782.479000002146,14.68,16.31116687578419,0,24.104080422830776,1730037578.804
71139.07199998974,20782.479000002146,14.68,16.31116687578419,0,24.104080422830776,1730037579.808
71139.07199998974,20782.479000002146,14.68,16.31116687578419,0,24.104080422830776,1730037579.808
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037580.81
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037580.81
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037581.813
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037581.813
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037582.816
74257.75500001878,22349.24700000137,14.72,25.55066079295154,0,22.213395424942256,1730037582.816
71594.36799998968,21068.12200000137,14.84,15.11335012594458,0,20.72971538114226,1730037583.819
71594.36799998968,21068.12200000137,14.84,15.11335012594458,0,20.72971538114226,1730037583.819
71594.36799998968,21068.12200000137,14.84,15.11335012594458,0,20.72971538114226,1730037584.822
71594.36799998968,21068.12200000137,14.84,15.11335012594458,0,20.72971538114226,1730037584.822
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037585.824
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037585.824
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037586.826
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037586.826
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037587.83
70017.8109999901,20181.40600000322,15.61,15.389447236180908,25,16.72173081899433,1730037587.83
76001.38000001937,20778.755000002682,19.58,17.440401505646175,100,12.584810382876757,1730037588.833
76001.38000001937,20778.755000002682,19.58,17.440401505646175,100,12.584810382876757,1730037588.833
76001.38000001937,20778.755000002682,19.58,17.440401505646175,100,12.584810382876757,1730037589.835
76001.38000001937,20778.755000002682,19.58,17.440401505646175,100,12.584810382876757,1730037589.835
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037590.838
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037590.838
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037591.84
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037591.84
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037592.842
85112.56300003141,22105.962000004947,26.11,13.916876574307302,100,12.758185380801473,1730037592.842
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037593.844
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037593.844
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037594.847
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037594.847
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037595.849
84999.08200000823,21929.265000000596,25.85,15.723270440251568,100,12.641807304219132,1730037595.849
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037596.852
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037596.852
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037597.854
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037597.854
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037598.857
84773.5999999982,22047.306999996305,25.77,15.128688010043945,100,12.58293794787865,1730037598.857
84347.28899998308,21919.743000000715,25.79,12.310606060606055,100,12.6764598345841,1730037599.86
84347.28899998308,21919.743000000715,25.79,12.310606060606055,100,12.6764598345841,1730037599.86
84347.28899998308,21919.743000000715,25.79,12.310606060606055,100,12.6764598345841,1730037600.862
84347.28899998308,21919.743000000715,25.79,12.310606060606055,100,12.6764598345841,1730037600.862
83998.44500000746,21537.482000000775,25.82,17.0440251572327,100,12.704920846555327,1730037601.864
