GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730734629.5631397,1730734629.5651693,1730734638.297152,8.731982705116188,7,google/flan-t5-base,task_0_of_user_7,-1
2,1730734629.5649972,1730734629.5655413,1730734637.8482037,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
3,1730734629.565075,1730734629.5656762,1730734638.297659,8.731982705116188,5,google/flan-t5-base,task_0_of_user_5,-1
4,1730734629.5651333,1730734629.5658293,1730734637.8484917,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
5,1730734629.5653987,1730734629.565973,1730734637.8486354,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
6,1730734629.565444,1730734629.5660968,1730734637.8487592,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
7,1730734629.5654843,1730734629.5662527,1730734638.2982354,8.731982705116188,1,google/flan-t5-small,task_1_of_user_1,-1
1,1730734633.1370609,1730734638.305189,1730734645.4410973,7.135908258512444,7,google/flan-t5-base,task_0_of_user_7,-1
2,1730734632.0654278,1730734638.3056133,1730734640.2143638,1.9087504340726067,8,google/flan-t5-small,task_0_of_user_8,-1
3,1730734631.9498255,1730734638.3057375,1730734647.0377202,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
4,1730734633.5749407,1730734638.30584,1730734646.5885024,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
5,1730734630.4649365,1730734638.305948,1730734647.0379307,8.731982705116188,2,google/flan-t5-small,task_0_of_user_2,-1
6,1730734632.686294,1730734638.306078,1730734646.5887403,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
7,1730734631.2376137,1730734638.3062007,1730734640.2149513,1.9087504340726067,3,google/flan-t5-small,task_1_of_user_3,-1
1,1730734634.5264475,1730734647.0443416,1730734654.18025,7.135908258512444,1,google/flan-t5-base,task_2_of_user_1,-1
2,1730734629.5651228,1730734647.0450673,1730734655.77705,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
3,1730734633.9717765,1730734647.0452137,1730734655.7771964,8.731982705116188,5,google/flan-t5-base,task_2_of_user_5,-1
4,1730734633.9819865,1730734647.0453327,1730734655.327995,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
5,1730734634.7463355,1730734647.0454457,1730734655.328108,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
6,1730734632.3454804,1730734647.0455496,1730734655.328212,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
7,1730734631.7923677,1730734647.045697,1730734648.9544475,1.9087504340726067,2,google/flan-t5-small,task_0_of_user_2,-1
1,1730734630.9949615,1730734655.7839596,1730734664.5159423,8.731982705116188,6,google/flan-t5-base,task_0_of_user_6,-1
2,1730734634.409105,1730734655.7842567,1730734662.920165,7.135908258512444,9,google/flan-t5-base,task_2_of_user_9,-1
3,1730734635.1536357,1730734655.7843802,1730734662.9202886,7.135908258512444,5,google/flan-t5-base,task_1_of_user_5,-1
4,1730734630.2662525,1730734655.7844987,1730734664.5164814,8.731982705116188,3,google/flan-t5-small,task_1_of_user_3,-1
5,1730734633.3360274,1730734655.7846212,1730734664.0672836,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
6,1730734631.3142962,1730734655.7847264,1730734657.693477,1.9087504340726067,1,google/flan-t5-small,task_1_of_user_1,-1
7,1730734630.6638467,1730734655.7848434,1730734664.5168262,8.731982705116188,8,google/flan-t5-small,task_0_of_user_8,-1
1,1730734632.7221394,1730734664.5238154,1730734671.6597238,7.135908258512444,5,google/flan-t5-base,task_0_of_user_5,-1
2,1730734631.6750698,1730734664.523998,1730734671.6599064,7.135908258512444,6,google/flan-t5-base,task_0_of_user_6,-1
3,1730734633.9108412,1730734664.524134,1730734673.2561166,8.731982705116188,1,google/flan-t5-base,task_2_of_user_1,-1
1,1730734633.6003728,1730734673.2620857,1730734680.397994,7.135908258512444,4,google/flan-t5-base,task_0_of_user_4,-1
2,1730734634.659323,1730734673.2622836,1730734680.398192,7.135908258512444,5,google/flan-t5-base,task_2_of_user_5,-1
3,1730734634.9100318,1730734673.2624054,1730734681.994388,8.731982705116188,5,google/flan-t5-base,task_1_of_user_5,-1
1,1730734633.0191844,1730734682.000415,1730734689.1363235,7.135908258512444,9,google/flan-t5-base,task_0_of_user_9,-1
2,1730734632.121521,1730734682.000895,1730734690.7328777,8.731982705116188,4,google/flan-t5-base,task_0_of_user_4,-1
3,1730734631.0306685,1730734682.001073,1730734690.7330556,8.731982705116188,7,google/flan-t5-base,task_0_of_user_7,-1
1,1730734630.5822096,1730734690.7388787,1730734699.4708614,8.731982705116188,5,google/flan-t5-base,task_0_of_user_5,-1
2,1730734633.3101718,1730734690.7394247,1730734699.4714074,8.731982705116188,5,google/flan-t5-base,task_2_of_user_5,-1
3,1730734634.175537,1730734690.7395508,1730734699.4715335,8.731982705116188,9,google/flan-t5-base,task_2_of_user_9,-1
