GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730999655.4951153,1730999655.4993114,1730999663.7819738,8.282662422445561,13,lucadiliello/bart-small,task_0_of_user_13,-1
2,1730999655.4975605,1730999655.499597,1730999666.1403303,10.640733139188795,12,google/flan-t5-small,task_0_of_user_12,-1
3,1730999655.497741,1730999655.499801,1730999663.7824633,8.282662422445561,11,lucadiliello/bart-small,task_0_of_user_11,-1
4,1730999655.4981081,1730999655.5000112,1730999663.7826736,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
5,1730999655.4982345,1730999655.500235,1730999663.7828975,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
6,1730999655.4985836,1730999655.5005567,1730999666.14129,10.640733139188795,1,google/flan-t5-small,task_1_of_user_1,-1
7,1730999655.4987516,1730999655.5009246,1730999663.783587,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
1,1730999658.6987472,1730999663.7908452,1730999674.4315784,10.640733139188795,3,google/flan-t5-small,task_1_of_user_3,-1
3,1730999658.6065342,1730999663.7914681,1730999674.4322014,10.640733139188795,12,google/flan-t5-small,task_1_of_user_12,-1
4,1730999655.4990294,1730999663.7917671,1730999672.0744295,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
5,1730999658.2646887,1730999663.792061,1730999672.0747235,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
7,1730999659.1287498,1730999663.7923076,1730999672.07497,8.282662422445561,14,lucadiliello/bart-small,task_1_of_user_14,-1
2,1730999659.5360415,1730999666.1466691,1730999674.4293315,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
6,1730999655.4991503,1730999666.1474433,1730999674.4301057,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
4,1730999655.5356572,1730999672.0812144,1730999680.3638768,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
5,1730999658.933491,1730999672.0824952,1730999682.7232285,10.640733139188795,8,google/flan-t5-small,task_0_of_user_8,-1
7,1730999659.2865646,1730999672.0830674,1730999682.7238007,10.640733139188795,2,google/flan-t5-small,task_0_of_user_2,-1
1,1730999655.4988525,1730999674.4377038,1730999685.078437,10.640733139188795,14,google/flan-t5-small,task_0_of_user_14,-1
2,1730999658.9078574,1730999674.4379797,1730999682.720642,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
3,1730999655.4989405,1730999674.438201,1730999699.0380747,24.59987366874482,5,google/flan-t5-base,task_0_of_user_5,-1
6,1730999660.4383638,1730999674.438466,1730999682.7211285,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
2,1730999659.2253973,1730999682.72824,1730999707.3281138,24.59987366874482,6,google/flan-t5-base,task_0_of_user_6,-1
1,1730999660.2695844,1730999685.08508,1730999709.6849537,24.59987366874482,5,google/flan-t5-base,task_1_of_user_5,-1
3,1730999655.4992845,1730999699.0437503,1730999723.643624,24.59987366874482,9,google/flan-t5-base,task_0_of_user_9,-1
2,1730999660.2490675,1730999707.3343873,1730999731.934261,24.59987366874482,9,google/flan-t5-base,task_2_of_user_9,-1
1,1730999655.499045,1730999709.6909506,1730999734.2908244,24.59987366874482,4,google/flan-t5-base,task_0_of_user_4,-1
3,1730999660.4486518,1730999723.6498127,1730999748.2496865,24.59987366874482,1,google/flan-t5-base,task_2_of_user_1,-1
2,1730999658.6270812,1730999731.9403992,1730999756.540273,24.59987366874482,5,google/flan-t5-base,task_2_of_user_5,-1
1,1730999655.4991217,1730999734.2976718,1730999758.8975456,24.59987366874482,7,google/flan-t5-base,task_0_of_user_7,-1
3,1730999655.49825,1730999748.2564323,1730999772.856306,24.59987366874482,15,google/flan-t5-base,task_0_of_user_15,-1
