GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1731002519.264551,1731002519.2647812,1731002519.4647813,0.2,1,google/flan-t5-small,task_1_of_user_1,0
1,1731002519.4352894,1731002519.4682863,1731002519.6682863,0.2,1,google/flan-t5-small,task_1_of_user_1,1
1,1731002519.4684844,1731002519.671856,1731002519.871856,0.2,1,google/flan-t5-small,task_1_of_user_1,2
1,1731002519.6717463,1731002519.875059,1731002520.075059,0.2,1,google/flan-t5-small,task_1_of_user_1,4
1,1731002519.8752687,1731002520.0784173,1731002520.2784173,0.2,1,google/flan-t5-small,task_1_of_user_1,6
1,1731002520.1918745,1731002520.2809467,1731002520.4809468,0.2,1,google/flan-t5-small,task_1_of_user_1,9
1,1731002520.4353626,1731002520.4838364,1731002520.6838365,0.2,1,google/flan-t5-small,task_1_of_user_1,11
1,1731002520.0782175,1731002520.6876209,1731002520.887621,0.2,1,google/flan-t5-small,task_1_of_user_1,8
1,1731002520.483663,1731002520.893982,1731002521.093982,0.2,1,google/flan-t5-small,task_1_of_user_1,12
1,1731002520.8938951,1731002521.0974607,1731002521.2974608,0.2,1,google/flan-t5-small,task_1_of_user_1,16
1,1731002521.0970235,1731002521.303691,1731002521.503691,0.2,1,google/flan-t5-small,task_1_of_user_1,18
1,1731002520.723548,1731002521.5055883,1731002521.7055883,0.2,1,google/flan-t5-small,task_1_of_user_1,14
1,1731002521.3909194,1731002521.7092042,1731002521.9092042,0.2,1,google/flan-t5-small,task_1_of_user_1,21
1,1731002521.3034146,1731002521.912509,1731002522.112509,0.2,1,google/flan-t5-small,task_1_of_user_1,20
1,1731002520.654233,1731002522.1231713,1731002522.3231714,0.2,1,google/flan-t5-small,task_1_of_user_1,13
1,1731002521.912384,1731002522.3260763,1731002522.5260763,0.2,1,google/flan-t5-small,task_1_of_user_1,27
1,1731002522.1228442,1731002522.534497,1731002522.734497,0.2,1,google/flan-t5-small,task_1_of_user_1,31
1,1731002522.0595424,1731002522.737519,1731002522.937519,0.2,1,google/flan-t5-small,task_1_of_user_1,30
1,1731002520.8783484,1731002522.9404125,1731002523.1404126,0.2,1,google/flan-t5-small,task_1_of_user_1,15
1,1731002519.6285422,1731002523.146361,1731002523.3463612,0.2,1,google/flan-t5-small,task_1_of_user_1,3
1,1731002522.4856362,1731002523.3506622,1731002523.5506623,0.2,1,google/flan-t5-small,task_1_of_user_1,34
1,1731002522.9396288,1731002523.554292,1731002523.754292,0.2,1,google/flan-t5-small,task_1_of_user_1,39
1,1731002523.350156,1731002523.757041,1731002523.957041,0.2,1,google/flan-t5-small,task_1_of_user_1,43
1,1731002523.1370335,1731002523.9584413,1731002524.1584413,0.2,1,google/flan-t5-small,task_1_of_user_1,41
1,1731002521.8640294,1731002524.1627986,1731002524.3627987,0.2,1,google/flan-t5-small,task_1_of_user_1,26
1,1731002521.6863735,1731002524.3660798,1731002524.5660799,0.2,1,google/flan-t5-small,task_1_of_user_1,24
2,1731002524.4451303,1731002524.4453847,1731002524.83154,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,0
1,1731002524.162353,1731002524.5715566,1731002524.7715566,0.2,1,google/flan-t5-small,task_1_of_user_1,50
1,1731002522.325506,1731002524.7774875,1731002524.9774876,0.2,1,google/flan-t5-small,task_1_of_user_1,33
2,1731002524.7666018,1731002524.8354878,1731002525.2216432,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,3
1,1731002521.6593812,1731002524.9822853,1731002525.1822853,0.2,1,google/flan-t5-small,task_1_of_user_1,23
1,1731002522.678725,1731002525.1850195,1731002525.3850195,0.2,1,google/flan-t5-small,task_1_of_user_1,36
2,1731002524.8352325,1731002525.2274606,1731002525.613616,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,4
1,1731002522.7371235,1731002525.391892,1731002525.591892,0.2,1,google/flan-t5-small,task_1_of_user_1,37
1,1731002521.225152,1731002525.5978303,1731002525.7978303,0.2,1,google/flan-t5-small,task_1_of_user_1,19
2,1731002525.3918314,1731002525.6210356,1731002526.007191,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,7
1,1731002522.0273602,1731002525.8032298,1731002526.0032299,0.2,1,google/flan-t5-small,task_1_of_user_1,29
1,1731002523.5540354,1731002526.006632,1731002526.2066321,0.2,1,google/flan-t5-small,task_1_of_user_1,45
2,1731002524.7074778,1731002526.0135055,1731002526.3996608,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,2
1,1731002523.7566304,1731002526.212958,1731002526.4129581,0.2,1,google/flan-t5-small,task_1_of_user_1,47
2,1731002525.6207378,1731002526.4057114,1731002526.7918668,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,9
1,1731002521.7091503,1731002526.419258,1731002526.6192582,0.2,1,google/flan-t5-small,task_1_of_user_1,25
1,1731002522.839928,1731002526.6250844,1731002526.8250844,0.2,1,google/flan-t5-small,task_1_of_user_1,38
2,1731002526.3844118,1731002526.7984407,1731002527.184596,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,13
1,1731002523.637149,1731002526.8304687,1731002527.0304687,0.2,1,google/flan-t5-small,task_1_of_user_1,46
1,1731002519.8417652,1731002527.0321007,1731002527.2321007,0.2,1,google/flan-t5-small,task_1_of_user_1,5
2,1731002526.7446992,1731002527.189022,1731002527.5751774,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,16
1,1731002521.505195,1731002527.2386134,1731002527.4386134,0.2,1,google/flan-t5-small,task_1_of_user_1,22
1,1731002522.010734,1731002527.440907,1731002527.640907,0.2,1,google/flan-t5-small,task_1_of_user_1,28
3,1731002527.4408178,1731002527.4413803,1731002527.7158546,0.2744742835034505,1,google/flan-t5-base,task_2_of_user_1,0
2,1731002527.031559,1731002527.5814342,1731002527.9675896,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,18
1,1731002523.5100718,1731002527.646876,1731002527.8468761,0.2,1,google/flan-t5-small,task_1_of_user_1,44
3,1731002527.5807068,1731002527.7216735,1731002527.9961479,0.2744742835034505,1,google/flan-t5-base,task_2_of_user_1,2
1,1731002524.3316057,1731002527.8527637,1731002528.0527637,0.2,1,google/flan-t5-small,task_1_of_user_1,51
2,1731002526.8292656,1731002527.972957,1731002528.3591123,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,17
3,1731002527.8523421,1731002528.0018806,1731002528.276355,0.2744742835034505,1,google/flan-t5-base,task_2_of_user_1,4
1,1731002520.2807148,1731002528.0595732,1731002528.2595732,0.2,1,google/flan-t5-small,task_1_of_user_1,10
1,1731002523.0281034,1731002528.2653863,1731002528.4653864,0.2,1,google/flan-t5-small,task_1_of_user_1,40
3,1731002528.0647578,1731002528.281793,1731002528.5562675,0.2744742835034505,1,google/flan-t5-base,task_2_of_user_1,7
2,1731002524.9816957,1731002528.364803,1731002528.7509584,0.3861554760443356,1,lucadiliello/bart-small,task_0_of_user_1,5
1,1731002524.0194836,1731002528.4715178,1731002528.6715178,0.2,1,google/flan-t5-small,task_1_of_user_1,49
3,1731002528.3646803,1731002528.5585744,1731002528.8330488,0.2744742835034505,1,google/flan-t5-base,task_2_of_user_1,10
