GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730652309.1041546,1730652309.1061256,1730652319.7468588,10.640733139188795,1,google/flan-t5-small,task_1_of_user_1,-1
2,1730652309.1043167,1730652309.1063018,1730652317.3889642,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
3,1730652309.1053796,1730652309.1064692,1730652333.706343,24.59987366874482,9,google/flan-t5-base,task_0_of_user_9,-1
4,1730652309.105402,1730652309.1067002,1730652317.3893626,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
5,1730652309.1055324,1730652309.106949,1730652317.3896115,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
6,1730652309.106004,1730652309.1071608,1730652317.3898232,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
7,1730652309.1060436,1730652309.1073833,1730652317.3900456,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
2,1730652311.7343235,1730652317.4042206,1730652342.0040944,24.59987366874482,9,google/flan-t5-base,task_2_of_user_9,-1
4,1730652309.8344972,1730652317.4044592,1730652328.0451925,10.640733139188795,2,google/flan-t5-small,task_0_of_user_2,-1
5,1730652311.4652886,1730652317.404632,1730652325.6872945,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
6,1730652309.8476143,1730652317.4048312,1730652325.6874936,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
7,1730652309.4551504,1730652317.4049788,1730652325.6876411,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
1,1730652311.6783738,1730652319.7635047,1730652344.3633785,24.59987366874482,5,google/flan-t5-base,task_1_of_user_5,-1
5,1730652309.9999187,1730652325.702251,1730652333.9849133,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
6,1730652310.8455753,1730652325.70259,1730652336.3433232,10.640733139188795,8,google/flan-t5-small,task_0_of_user_8,-1
7,1730652310.8607676,1730652325.7028599,1730652336.3435931,10.640733139188795,3,google/flan-t5-small,task_1_of_user_3,-1
4,1730652310.38148,1730652328.0612044,1730652336.3438668,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
3,1730652309.105886,1730652333.7367299,1730652358.3366036,24.59987366874482,4,google/flan-t5-base,task_0_of_user_4,-1
2,1730652311.744529,1730652342.0343716,1730652366.6342454,24.59987366874482,1,google/flan-t5-base,task_2_of_user_1,-1
1,1730652310.1072295,1730652344.3937836,1730652368.9936574,24.59987366874482,5,google/flan-t5-base,task_2_of_user_5,-1
3,1730652309.105609,1730652358.3544395,1730652382.9543133,24.59987366874482,7,google/flan-t5-base,task_0_of_user_7,-1
2,1730652309.10609,1730652366.6646302,1730652391.264504,24.59987366874482,5,google/flan-t5-base,task_0_of_user_5,-1
1,1730652310.0609004,1730652369.024012,1730652393.6238859,24.59987366874482,6,google/flan-t5-base,task_0_of_user_6,-1
