GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730652231.5988283,1730652231.600493,1730652231.9866483,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,0
2,1730652231.5990207,1730652231.6007104,1730652231.9868658,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,0
3,1730652231.5990427,1730652231.6008732,1730652231.8008733,0.2,1,google/flan-t5-small,task_1_of_user_1,0
4,1730652231.5997345,1730652231.6010327,1730652231.987188,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,0
5,1730652231.6002228,1730652231.6012,1730652231.9873555,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,0
6,1730652231.600353,1730652231.6013448,1730652231.9875002,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,0
3,1730652231.600158,1730652231.809486,1730652232.0839603,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,0
7,1730652231.808888,1730652231.8096678,1730652232.0096679,0.2,1,google/flan-t5-small,task_1_of_user_1,1
1,1730652231.8092432,1730652231.9933376,1730652232.379493,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,1
2,1730652231.8092744,1730652231.9935212,1730652232.3796766,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,1
4,1730652231.8093343,1730652231.993655,1730652232.3798103,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,2
5,1730652231.8093858,1730652231.993794,1730652232.3799493,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,1
6,1730652231.8090842,1730652231.993935,1730652232.3800905,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,1
7,1730652231.9920528,1730652232.0162327,1730652232.2162328,0.2,1,google/flan-t5-small,task_1_of_user_1,2
3,1730652231.8090599,1730652232.0966334,1730652232.3711078,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,1
7,1730652232.0161788,1730652232.2228773,1730652232.4228773,0.2,1,google/flan-t5-small,task_1_of_user_1,3
3,1730652231.9927282,1730652232.379537,1730652232.6540115,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,3
1,1730652232.379315,1730652232.3866873,1730652232.7728426,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,5
2,1730652232.3793983,1730652232.3870025,1730652232.6614769,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,5
4,1730652232.3794737,1730652232.3871815,1730652232.773337,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,7
5,1730652232.3794875,1730652232.3873498,1730652232.7735052,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,4
6,1730652231.993258,1730652232.387531,1730652232.7736864,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,2
7,1730652231.991642,1730652232.4441946,1730652232.83035,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,2
2,1730652232.4441333,1730652232.6702118,1730652232.9446862,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,6
3,1730652232.4443228,1730652232.6709158,1730652232.9453902,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,6
1,1730652232.22286,1730652232.782953,1730652233.1691084,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,4
4,1730652231.992272,1730652232.7832243,1730652233.1693797,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,2
5,1730652231.9923513,1730652232.7833538,1730652233.1695092,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,3
6,1730652232.3777773,1730652232.7834957,1730652232.9834957,0.2,1,google/flan-t5-small,task_1_of_user_1,6
7,1730652232.7827864,1730652232.8412352,1730652233.2273905,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,8
2,1730652232.669424,1730652232.9531481,1730652233.2276225,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,8
3,1730652232.6697326,1730652232.95365,1730652233.2281244,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,9
6,1730652232.0960078,1730652232.990203,1730652233.190203,0.2,1,google/flan-t5-small,task_1_of_user_1,4
1,1730652231.8089893,1730652233.1754391,1730652233.4499135,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,1
4,1730652232.0962608,1730652233.1757863,1730652233.5619416,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,3
5,1730652232.0964549,1730652233.1759632,1730652233.5621185,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,3
6,1730652232.222795,1730652233.1967258,1730652233.5828812,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,6
2,1730652232.89412,1730652233.2355676,1730652233.621723,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,9
3,1730652232.9504771,1730652233.2360287,1730652233.4360287,0.2,1,google/flan-t5-small,task_1_of_user_1,10
7,1730652232.9532964,1730652233.2362232,1730652233.6223786,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,9
3,1730652233.175329,1730652233.4445734,1730652233.7190478,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,10
1,1730652233.444028,1730652233.456302,1730652233.7307763,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,15
4,1730652233.4564035,1730652233.5720365,1730652233.7720366,0.2,1,google/flan-t5-small,task_1_of_user_1,15
5,1730652233.444136,1730652233.5724103,1730652233.9585657,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,13
6,1730652232.670865,1730652233.5894525,1730652233.9756079,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,7
2,1730652232.953453,1730652233.6272478,1730652233.9017222,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,11
7,1730652232.9535623,1730652233.62763,1730652234.0137854,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,10
3,1730652232.8408601,1730652233.7291305,1730652234.003605,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,9
1,1730652232.8412025,1730652233.7368233,1730652234.1229787,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,8
4,1730652232.9527998,1730652233.7798307,1730652234.165986,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,11
2,1730652233.7290585,1730652233.9102023,1730652234.1846766,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,18
5,1730652232.9533179,1730652233.966696,1730652234.3528514,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,10
6,1730652233.7288365,1730652233.9782128,1730652234.178213,0.2,1,google/flan-t5-small,task_1_of_user_1,18
3,1730652233.1749492,1730652234.0114832,1730652234.2859576,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,13
7,1730652232.444119,1730652234.021094,1730652234.4072495,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,6
1,1730652233.5703692,1730652234.1313357,1730652234.517491,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,14
4,1730652232.0967195,1730652234.1729841,1730652234.5591395,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,4
