GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730665423.8620088,1730665423.8641732,1730665434.5049064,10.640733139188795,1,google/flan-t5-small,task_1_of_user_1,-1
2,1730665423.8632653,1730665423.8643875,1730665432.14705,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
3,1730665423.8633964,1730665423.864528,1730665432.1471903,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
4,1730665423.8638992,1730665423.864705,1730665432.1473675,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
5,1730665423.8639135,1730665423.8649068,1730665432.1475692,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
6,1730665423.8640416,1730665423.8650606,1730665432.147723,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
7,1730665423.9006834,1730665423.9008157,1730665432.183478,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
6,1730665424.981163,1730665432.1620228,1730665440.4446852,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
2,1730665424.853842,1730665432.1622057,1730665442.802939,10.640733139188795,2,google/flan-t5-small,task_0_of_user_2,-1
3,1730665424.4440465,1730665432.1623466,1730665440.445009,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
4,1730665423.916798,1730665432.1624775,1730665442.8032107,10.640733139188795,8,google/flan-t5-small,task_0_of_user_8,-1
5,1730665424.5255406,1730665432.1626098,1730665440.4452722,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
7,1730665424.6749635,1730665432.19747,1730665440.4801323,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
1,1730665423.8637316,1730665434.52037,1730665459.1202438,24.59987366874482,9,google/flan-t5-base,task_0_of_user_9,-1
5,1730665424.787648,1730665440.4590986,1730665451.0998318,10.640733139188795,3,google/flan-t5-small,task_1_of_user_3,-1
3,1730665425.1189394,1730665440.459552,1730665465.0594258,24.59987366874482,9,google/flan-t5-base,task_2_of_user_9,-1
2,1730665424.525504,1730665442.8186703,1730665467.418544,24.59987366874482,6,google/flan-t5-base,task_0_of_user_6,-1
1,1730665424.61389,1730665459.1504674,1730665483.7503412,24.59987366874482,5,google/flan-t5-base,task_2_of_user_5,-1
3,1730665425.0169475,1730665465.0897913,1730665489.689665,24.59987366874482,5,google/flan-t5-base,task_1_of_user_5,-1
2,1730665425.1494381,1730665467.4449513,1730665492.044825,24.59987366874482,1,google/flan-t5-base,task_2_of_user_1,-1
1,1730665423.864124,1730665483.7805357,1730665508.3804095,24.59987366874482,4,google/flan-t5-base,task_0_of_user_4,-1
3,1730665423.8641343,1730665489.719176,1730665514.3190498,24.59987366874482,7,google/flan-t5-base,task_0_of_user_7,-1
2,1730665423.8640718,1730665492.0751686,1730665516.6750424,24.59987366874482,5,google/flan-t5-base,task_0_of_user_5,-1
