GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730666271.0004032,1730666271.00239,1730666279.2850523,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
2,1730666271.0012698,1730666271.0028515,1730666279.7348342,8.731982705116188,1,google/flan-t5-small,task_1_of_user_1,-1
3,1730666271.0016286,1730666271.0034804,1730666279.7354631,8.731982705116188,4,google/flan-t5-base,task_0_of_user_4,-1
4,1730666271.0020056,1730666271.0041258,1730666279.2867882,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
5,1730666271.0021977,1730666271.0046608,1730666279.2873232,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
6,1730666271.0023272,1730666271.005321,1730666279.2879834,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
7,1730666271.0023646,1730666271.0059376,1730666279.2886,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
1,1730666271.845808,1730666279.7503781,1730666288.4823608,8.731982705116188,7,google/flan-t5-base,task_0_of_user_7,-1
2,1730666274.774555,1730666279.75105,1730666286.8869584,7.135908258512444,5,google/flan-t5-base,task_2_of_user_5,-1
3,1730666274.58077,1730666279.7515612,1730666288.4835439,8.731982705116188,9,google/flan-t5-base,task_2_of_user_9,-1
4,1730666273.384633,1730666279.752178,1730666288.0348403,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
5,1730666273.0822442,1730666279.7526705,1730666288.035333,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
6,1730666272.4246607,1730666279.753077,1730666288.4850597,8.731982705116188,3,google/flan-t5-small,task_1_of_user_3,-1
7,1730666273.3642304,1730666279.7626963,1730666288.0453587,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
1,1730666274.866526,1730666288.498965,1730666295.6348734,7.135908258512444,9,google/flan-t5-base,task_2_of_user_9,-1
2,1730666273.6988547,1730666288.4997928,1730666295.6357012,7.135908258512444,9,google/flan-t5-base,task_0_of_user_9,-1
3,1730666272.3738072,1730666288.5004697,1730666295.636378,7.135908258512444,4,google/flan-t5-base,task_0_of_user_4,-1
4,1730666273.072093,1730666288.501119,1730666290.4098694,1.9087504340726067,2,google/flan-t5-small,task_0_of_user_2,-1
6,1730666272.9189265,1730666288.5074625,1730666290.416213,1.9087504340726067,8,google/flan-t5-small,task_0_of_user_8,-1
5,1730666274.106653,1730666288.5077772,1730666296.7904396,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
7,1730666272.975191,1730666288.687673,1730666290.5964236,1.9087504340726067,3,google/flan-t5-small,task_1_of_user_3,-1
1,1730666274.4126031,1730666297.2463636,1730666304.382272,7.135908258512444,1,google/flan-t5-base,task_2_of_user_1,-1
2,1730666272.023577,1730666297.2469156,1730666299.155666,1.9087504340726067,1,google/flan-t5-small,task_1_of_user_1,-1
3,1730666272.0491982,1730666297.2474008,1730666305.9793835,8.731982705116188,5,google/flan-t5-base,task_0_of_user_5,-1
4,1730666272.1640258,1730666297.26361,1730666305.9955926,8.731982705116188,8,google/flan-t5-small,task_0_of_user_8,-1
6,1730666273.800871,1730666297.2641585,1730666305.5468209,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
5,1730666272.2408183,1730666297.3821154,1730666306.114098,8.731982705116188,2,google/flan-t5-small,task_0_of_user_2,-1
1,1730666274.1729393,1730666305.9928312,1730666314.724814,8.731982705116188,5,google/flan-t5-base,task_2_of_user_5,-1
2,1730666271.9980624,1730666305.9935486,1730666314.7255313,8.731982705116188,6,google/flan-t5-base,task_0_of_user_6,-1
3,1730666271.0022607,1730666305.9940464,1730666314.7260292,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
1,1730666273.6220489,1730666314.740681,1730666321.8765893,7.135908258512444,5,google/flan-t5-base,task_0_of_user_5,-1
2,1730666271.001781,1730666314.741231,1730666323.4732137,8.731982705116188,7,google/flan-t5-base,task_0_of_user_7,-1
3,1730666272.6433454,1730666314.741834,1730666323.4738166,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
1,1730666274.9328344,1730666323.4881687,1730666332.2201514,8.731982705116188,5,google/flan-t5-base,task_1_of_user_5,-1
2,1730666272.8221633,1730666323.4891741,1730666330.6250825,7.135908258512444,7,google/flan-t5-base,task_0_of_user_7,-1
3,1730666273.7294357,1730666323.4898784,1730666332.2218611,8.731982705116188,1,google/flan-t5-base,task_2_of_user_1,-1
1,1730666271.001883,1730666332.2359385,1730666340.9679213,8.731982705116188,5,google/flan-t5-base,task_0_of_user_5,-1
2,1730666273.0567405,1730666332.2366297,1730666339.372538,7.135908258512444,6,google/flan-t5-base,task_0_of_user_6,-1
3,1730666274.4686372,1730666332.273398,1730666341.0053806,8.731982705116188,5,google/flan-t5-base,task_2_of_user_5,-1
1,1730666275.175533,1730666340.9828544,1730666348.1187627,7.135908258512444,5,google/flan-t5-base,task_1_of_user_5,-1
