GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730665330.823365,1730665330.8253517,1730665331.099826,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,0
2,1730665330.8244338,1730665330.8255951,1730665331.2117505,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,0
3,1730665330.8246627,1730665330.825808,1730665331.025808,0.2,1,google/flan-t5-small,task_1_of_user_1,0
4,1730665330.8248572,1730665330.8260212,1730665331.2121766,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,0
5,1730665330.8251116,1730665330.82622,1730665331.2123754,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,0
6,1730665330.825217,1730665330.826409,1730665331.2125645,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,0
7,1730665330.8252642,1730665330.8265994,1730665331.2127547,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,0
3,1730665330.8248417,1730665331.0431497,1730665331.317624,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,0
1,1730665331.041856,1730665331.1079943,1730665331.3824687,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,1
2,1730665331.0429113,1730665331.218079,1730665331.6042345,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,1
4,1730665331.043118,1730665331.2182913,1730665331.6044466,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,1
5,1730665331.1074207,1730665331.2184472,1730665331.4184473,0.2,1,google/flan-t5-small,task_1_of_user_1,2
6,1730665331.1079683,1730665331.2185855,1730665331.6047409,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,2
7,1730665331.0425673,1730665331.2187088,1730665331.6048641,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,2
3,1730665331.0427375,1730665331.326368,1730665331.7125235,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,1
1,1730665331.2175527,1730665331.390532,1730665331.6650064,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,3
5,1730665331.0425384,1730665331.4256923,1730665331.6256924,0.2,1,google/flan-t5-small,task_1_of_user_1,1
2,1730665331.0427544,1730665331.6133497,1730665331.999505,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,1
4,1730665331.2172627,1730665331.6139605,1730665332.0001159,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,3
6,1730665331.2175708,1730665331.6141205,1730665332.0002759,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,3
7,1730665331.2176726,1730665331.6142545,1730665332.0004098,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,3
5,1730665331.6120462,1730665331.6296413,1730665331.8296413,0.2,1,google/flan-t5-small,task_1_of_user_1,7
1,1730665331.0430644,1730665331.672991,1730665331.9474654,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,1
3,1730665331.2137938,1730665331.735982,1730665332.1221373,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,2
5,1730665331.4256673,1730665331.8377295,1730665332.0377295,0.2,1,google/flan-t5-small,task_1_of_user_1,6
1,1730665331.2177846,1730665331.9547474,1730665332.2292218,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,3
2,1730665331.673064,1730665332.006068,1730665332.3922234,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,7
4,1730665331.1075945,1730665332.0062935,1730665332.392449,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,2
6,1730665331.4243855,1730665332.0064921,1730665332.3926475,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,5
7,1730665331.4256108,1730665332.0066848,1730665332.3928401,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,6
5,1730665331.3255122,1730665332.046215,1730665332.246215,0.2,1,google/flan-t5-small,task_1_of_user_1,4
3,1730665331.6136296,1730665332.1313064,1730665332.4057808,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,6
1,1730665331.9538252,1730665332.2324898,1730665332.5069642,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,10
5,1730665331.6139016,1730665332.249353,1730665332.6355083,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,5
2,1730665332.0461295,1730665332.4024677,1730665332.788623,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,11
4,1730665332.0461926,1730665332.4028227,1730665332.788978,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,11
6,1730665331.3259583,1730665332.403036,1730665332.7891915,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,4
7,1730665331.3261874,1730665332.4031718,1730665332.7893271,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,4
3,1730665331.9538505,1730665332.411708,1730665332.6861825,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,9
1,1730665332.046171,1730665332.529192,1730665332.8036664,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,12
