GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name
1,1730638154.057211,1730638154.0579348,1730638154.0965502,0.03861554760443355,3,lucadiliello/bart-small
2,1730638154.0576868,1730638154.0581577,1730638154.0967731,0.03861554760443355,2,lucadiliello/bart-small
3,1730638154.0579221,1730638154.0583153,1730638154.0783153,0.02,1,google/flan-t5-small
1,1730638154.6597025,1730638154.6601248,1730638154.6875722,0.027447428350345044,2,google/flan-t5-base
2,1730638154.6605246,1730638154.6634414,1730638154.6834414,0.02,1,google/flan-t5-small
3,1730638154.6627724,1730638154.6668103,1730638154.6942577,0.027447428350345044,3,google/flan-t5-base
1,1730638155.446591,1730638155.4475946,1730638155.48621,0.03861554760443355,1,lucadiliello/bart-small
2,1730638155.447356,1730638155.447828,1730638155.4864435,0.03861554760443355,3,lucadiliello/bart-small
3,1730638155.4475617,1730638155.4480233,1730638155.4754708,0.027447428350345044,2,google/flan-t5-base
1,1730638156.6454737,1730638156.6464202,1730638156.6664202,0.02,3,google/flan-t5-small
2,1730638156.645897,1730638156.646593,1730638156.6852086,0.03861554760443355,1,lucadiliello/bart-small
3,1730638156.6463282,1730638156.6467245,1730638156.6667244,0.02,2,google/flan-t5-small
1,1730638157.6929214,1730638157.6941054,1730638157.7327209,0.03861554760443355,2,lucadiliello/bart-small
2,1730638157.6933563,1730638157.694362,1730638157.714362,0.02,1,google/flan-t5-small
3,1730638157.6939385,1730638157.6945825,1730638157.733198,0.03861554760443355,3,lucadiliello/bart-small
1,1730638158.489842,1730638158.4911706,1730638158.529786,0.03861554760443355,3,lucadiliello/bart-small
2,1730638158.4905562,1730638158.4913983,1730638158.5113983,0.02,2,google/flan-t5-small
3,1730638158.4910033,1730638158.4915586,1730638158.519006,0.027447428350345044,1,google/flan-t5-base
1,1730638159.180814,1730638159.1822226,1730638159.220838,0.03861554760443355,3,lucadiliello/bart-small
2,1730638159.1819696,1730638159.1824439,1730638159.2098913,0.027447428350345044,2,google/flan-t5-base
3,1730638159.1821442,1730638159.1826115,1730638159.2026114,0.02,1,google/flan-t5-small
1,1730638159.4856806,1730638159.48717,1730638159.50717,0.02,3,google/flan-t5-small
2,1730638159.4870024,1730638159.4873507,1730638159.5073507,0.02,1,google/flan-t5-small
3,1730638159.4870467,1730638159.4874914,1730638159.5074914,0.02,2,google/flan-t5-small
1,1730638160.4502842,1730638160.4512744,1730638160.4787219,0.027447428350345044,2,google/flan-t5-base
2,1730638160.4508486,1730638160.4514456,1730638160.490061,0.03861554760443355,3,lucadiliello/bart-small
3,1730638160.4512577,1730638160.4515805,1730638160.490196,0.03861554760443355,1,lucadiliello/bart-small
1,1730638161.645441,1730638161.6460197,1730638161.6734672,0.027447428350345044,2,google/flan-t5-base
2,1730638161.6458912,1730638161.6462023,1730638161.6736498,0.027447428350345044,1,google/flan-t5-base
3,1730638161.6459684,1730638161.6463382,1730638161.6737857,0.027447428350345044,3,google/flan-t5-base
1,1730638162.5040922,1730638162.5043664,1730638162.5429819,0.03861554760443355,2,lucadiliello/bart-small
2,1730638162.5042193,1730638162.504596,1730638162.524596,0.02,3,google/flan-t5-small
3,1730638162.504241,1730638162.5047922,1730638162.5434077,0.03861554760443355,1,lucadiliello/bart-small
1,1730638162.9998364,1730638163.0008197,1730638163.0282671,0.027447428350345044,2,google/flan-t5-base
2,1730638163.0009706,1730638163.002076,1730638163.0295234,0.027447428350345044,3,google/flan-t5-base
3,1730638163.001072,1730638163.0022848,1730638163.0409002,0.03861554760443355,1,lucadiliello/bart-small
1,1730638163.4222736,1730638163.4232762,1730638163.4618917,0.03861554760443355,2,lucadiliello/bart-small
2,1730638163.4232075,1730638163.4234896,1730638163.462105,0.03861554760443355,3,lucadiliello/bart-small
3,1730638163.4233456,1730638163.4236598,1730638163.4511073,0.027447428350345044,1,google/flan-t5-base
1,1730638163.6953309,1730638163.6966765,1730638163.724124,0.027447428350345044,3,google/flan-t5-base
1,1730638163.897183,1730638163.897936,1730638163.917936,0.02,2,google/flan-t5-small
2,1730638163.8975317,1730638163.8981369,1730638163.9367523,0.03861554760443355,1,lucadiliello/bart-small
3,1730638163.8976119,1730638163.8983293,1730638163.9369447,0.03861554760443355,3,lucadiliello/bart-small
1,1730638164.206986,1730638164.2080567,1730638164.2466722,0.03861554760443355,2,lucadiliello/bart-small
2,1730638164.207965,1730638164.2083964,1730638164.235844,0.027447428350345044,1,google/flan-t5-base
3,1730638164.2083075,1730638164.2085457,1730638164.2359931,0.027447428350345044,3,google/flan-t5-base
1,1730638165.6100206,1730638165.6106184,1730638165.6380658,0.027447428350345044,2,google/flan-t5-base
2,1730638165.6104538,1730638165.6107802,1730638165.6382277,0.027447428350345044,1,google/flan-t5-base
3,1730638165.610564,1730638165.6109078,1730638165.6383553,0.027447428350345044,3,google/flan-t5-base
1,1730638166.6125753,1730638166.6148193,1730638166.6534348,0.03861554760443355,1,lucadiliello/bart-small
2,1730638166.613038,1730638166.615223,1730638166.6538384,0.03861554760443355,2,lucadiliello/bart-small
3,1730638166.613726,1730638166.6155276,1730638166.642975,0.027447428350345044,3,google/flan-t5-base
1,1730638166.8018181,1730638166.804572,1730638166.8431876,0.03861554760443355,1,lucadiliello/bart-small
2,1730638166.8037293,1730638166.8049088,1730638166.8435242,0.03861554760443355,3,lucadiliello/bart-small
3,1730638166.8040771,1730638166.805171,1730638166.8326185,0.027447428350345044,2,google/flan-t5-base
1,1730638167.0293813,1730638167.0326712,1730638167.0526712,0.02,1,google/flan-t5-small
2,1730638167.0328822,1730638167.0331197,1730638167.0531197,0.02,2,google/flan-t5-small
1,1730638168.0466821,1730638168.0481017,1730638168.0755491,0.027447428350345044,2,google/flan-t5-base
1,1730638168.2323709,1730638168.232646,1730638168.2712615,0.03861554760443355,2,lucadiliello/bart-small
1,1730638168.4161553,1730638168.4197228,1730638168.4397228,0.02,2,google/flan-t5-small
1,1730638168.7442396,1730638168.744378,1730638168.7718256,0.027447428350345044,2,google/flan-t5-base
1,1730638169.2658377,1730638169.2661042,1730638169.3047197,0.03861554760443355,2,lucadiliello/bart-small
1,1730638169.6458278,1730638169.6460378,1730638169.6660378,0.02,2,google/flan-t5-small
1,1730638169.89894,1730638169.8990388,1730638169.9190388,0.02,2,google/flan-t5-small
1,1730638170.2904913,1730638170.2906075,1730638170.3106074,0.02,2,google/flan-t5-small
1,1730638170.4825783,1730638170.4826765,1730638170.521292,0.03861554760443355,2,lucadiliello/bart-small
1,1730638170.8318605,1730638170.832001,1730638170.8706164,0.03861554760443355,2,lucadiliello/bart-small
1,1730638171.3739562,1730638171.3741035,1730638171.401551,0.027447428350345044,2,google/flan-t5-base
